clip_simple,clip_sft,clip_lm,clip_dpo,aesthetics_simple,aesthetics_sft,aesthetics_lm,aesthetics_dpo,ir_simple,ir_sft,ir_lm,ir_dpo
1.0,1.0,1.0,1.0,0.4534415006637573,0.45019257068634033,0.4415912926197052,0.4365043640136719,0.6046686768531799,0.8624544143676758,0.9897164106369019,1.7542647123336792
1.0,1.0,1.0,1.0,0.4457358121871948,0.42127707600593567,0.4434943199157715,0.456041157245636,0.2561838626861572,-2.239847183227539,-0.29012030363082886,-1.4020761251449585
1.0,1.0,1.0,1.0,0.44722089171409607,0.44683361053466797,0.44292348623275757,0.4235699772834778,1.5127612352371216,-0.2868153750896454,1.3842518329620361,-1.9208837747573853
1.0,1.0,1.0,1.0,0.4446339011192322,0.4467313587665558,0.427105575799942,0.4300897419452667,-0.09567494690418243,1.724891185760498,0.028542226180434227,0.6569858193397522
1.0,1.0,1.0,1.0,0.4577648639678955,0.4413675367832184,0.45029088854789734,0.45723164081573486,0.11015558987855911,0.6903546452522278,0.5109555125236511,-0.19090987741947174
1.0,1.0,1.0,1.0,0.4557968080043793,0.4405836760997772,0.38497596979141235,0.4692065715789795,1.0552587509155273,-0.6197102665901184,-1.5345441102981567,-1.6818205118179321
1.0,1.0,1.0,1.0,0.43368080258369446,0.4448733329772949,0.4475245177745819,0.4453934133052826,0.770768940448761,-0.4349662959575653,0.3464674651622772,-0.3005756139755249
1.0,1.0,1.0,1.0,0.3693849444389343,0.3960988521575928,0.37495771050453186,0.40268900990486145,0.7756463289260864,-0.05497242137789726,0.17321403324604034,-1.103295922279358
1.0,1.0,1.0,1.0,0.44384342432022095,0.43983426690101624,0.4437731206417084,0.44043466448783875,-0.04862102121114731,-0.13477328419685364,0.3048669397830963,0.2081049531698227
1.0,1.0,1.0,1.0,0.4599723517894745,0.44077616930007935,0.4288713037967682,0.4428853392601013,0.5077243447303772,-1.345058560371399,-1.0361684560775757,-0.9117293357849121
1.0,1.0,1.0,1.0,0.45465728640556335,0.465157687664032,0.43839091062545776,0.4564336836338043,-0.7196335792541504,-0.7639115452766418,-1.5808132886886597,-1.1378886699676514
1.0,1.0,1.0,1.0,0.4117681086063385,0.4616428017616272,0.4285285174846649,0.4667162001132965,-1.1742733716964722,-1.190971851348877,-1.4159727096557617,-1.5499298572540283
1.0,1.0,1.0,1.0,0.4429391920566559,0.4490966796875,0.4593315124511719,0.4560568034648895,0.7362401485443115,0.8948065042495728,-0.3650236427783966,1.5598009824752808
1.0,1.0,1.0,1.0,0.4064231216907501,0.4498247802257538,0.44922399520874023,0.44179585576057434,0.5333259105682373,0.6590372323989868,1.3368698358535767,0.6946269869804382
1.0,1.0,1.0,1.0,0.4497872591018677,0.4692065715789795,0.4488976001739502,0.4578707218170166,0.753932535648346,-2.145423650741577,1.6910494565963745,0.49259647727012634
1.0,1.0,1.0,1.0,0.44325295090675354,0.4692065715789795,0.4573220908641815,0.4525342583656311,-0.6718097925186157,-1.9051389694213867,-0.5561304688453674,-1.1346285343170166
